#{"t_start": 1764620712.246473, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
29.0,2955,12730.531757
18.0,2855,12765.63995
17.0,2504,12810.263339
31.0,3233,12847.420926
28.0,3457,12887.323032
19.0,2434,12915.414787
36.0,4180,12970.223207
21.0,3266,13004.74232
29.0,3135,13038.642306
18.0,2731,13071.542785
33.0,3610,13120.165714
40.0,4045,13172.734356
19.0,2163,13196.593483
17.0,2363,13226.699407
29.0,3660,13286.505425
47.0,5252,13354.411971
35.0,3922,13397.687738
24.0,3253,13450.07222
24.0,3281,13495.22872
20.0,3615,13535.897673
31.0,4047,13583.749349
44.0,4321,13647.632227
30.0,3411,13687.490727
34.0,4133,13733.405765
26.0,3080,13781.687485
19.0,3038,13816.631465
27.0,3537,13857.026659
52.0,4727,13931.891288
38.0,4839,13983.729301
40.0,3830,14028.114924
33.0,3696,14068.077803
31.0,4202,14132.570119
36.0,4292,14178.898572
19.0,3001,14213.207219
43.0,4531,14275.642644
32.0,3426,14314.033456
22.0,3175,14348.989047
47.0,4818,14424.469183
31.0,4182,14470.455149
26.0,2091,14493.501851
32.0,2783,14526.752116
30.0,3912,14588.168941
57.0,5040,14648.75482
38.0,4303,14697.036653
33.0,3904,14757.839452
33.0,3545,14798.86083
22.0,3249,14849.203509
21.0,2948,14881.523623
38.0,3277,14935.946761
51.0,4296,14986.527202
32.0,4559,15046.877671
28.0,3733,15114.316717
47.0,4695,15166.051957
33.0,3524,15202.160706
33.0,4265,15264.407704
53.0,5161,15321.779335
43.0,4023,15362.805077
22.0,2992,15413.276583
27.0,3676,15454.266848
36.0,4026,15500.711928
22.0,3326,15548.742206
48.0,4108,15594.204688
29.0,3183,15629.507915
32.0,4242,15675.035199
31.0,3698,15726.201511
46.0,4830,15781.810249
24.0,3651,15821.441473
50.0,5038,15885.504365
36.0,3874,15930.303389
39.0,3652,15970.154919
53.0,5204,16039.117012
14.0,1943,16061.310414
56.0,5395,16118.706034
46.0,4938,16183.656514
26.0,3240,16222.126791
38.0,4761,16273.320786
23.0,3503,16333.22655
50.0,5218,16397.980754
39.0,4445,16447.66051
37.0,4624,16522.820305
19.0,2700,16552.345803
26.0,3180,16590.937042
